Affirm,823564,6,www.affirm.com,"San Francisco, CA",Finance,Lending,,501 to 1000 employees,https://grnh.se/2e7b92fa3us
Beneficial State Bank,995526,6,www.beneficialstatebank.com,"Oakland, CA",Finance,Banks & Credit Unions,,51 to 200 employees,https://grnh.se/345290d12
BentoBox,1850426,6,www.getbento.com,"New York, NY",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/03b41f922us
Bombas,1605933,6,www.bombas.com,"New York, NY",Retail,Other Retail Stores,,51 to 200 employees,https://grnh.se/ac5f2ea01us
Caliva,1551764,6,www.gocaliva.com,"San Jose, CA",Retail,Other Retail Stores,,501 to 1000 employees,https://grnh.se/f996bcbc2us
CannonDesign,30940,6,www.cannondesign.com,"Buffalo, NY",Business Services,Architectural & Engineering Services,,501 to 1000 employees,https://grnh.se/76bd2a352us
Coit Group,718561,6,www.coitgroup.com,"San Francisco, CA",Business Services,Staffing & Outsourcing,,1 to 50 employees,https://grnh.se/0036c99d2us
Daily Harvest,1864722,6,www.daily-harvest.com,"New York, NY",Manufacturing,Food & Beverage Manufacturing,,51 to 200 employees,https://grnh.se/0cbb60201us
EDO,3101942,6,www.edogelati.eu,"Calcio, Italy","",,"",Unknown,https://grnh.se/831867a83
Farmers Business Network,900388,6,www.farmersbusinessnetwork.com,"San Carlos, CA",Agriculture & Forestry,Farm Support Services,,201 to 500 employees,https://grnh.se/44b295281us
GoDaddy,35337,6,www.godaddy.com,"Scottsdale, AZ",Information Technology,Internet,$2 to $5 billion (USD) per year,5001 to 10000 employees,https://grnh.se/674c33833us
Heal,1503374,6,www.heal.com,"Los Angeles, CA",Health Care,Health Care Services & Hospitals,,51 to 200 employees,https://grnh.se/2aab917d1us
Hexagon Bio,2566617,6,www.hexagonbio.com,"Menlo Park, CA","",,"",Unknown,https://grnh.se/f7d4fb023us
Human Interest,1303170,6,www.captain401.com,"San Francisco, CA",Finance,Investment Banking & Asset Management,,51 to 200 employees,https://grnh.se/cb4108b81us
IEX Group,968545,6,www.iextrading.com,"New York, NY",Finance,Stock Exchanges,,51 to 200 employees,https://grnh.se/f08606061us
Imply,1957550,6,www.imply.io,"Burlingame, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/f3f928513us
Kepler Group,856549,6,www.keplergrp.com,"New York, NY",Business Services,Advertising & Marketing,,201 to 500 employees,https://grnh.se/1nf4sc
NAUTO,1269398,6,www.nauto.com,"Palo Alto, CA",Information Technology,Computer Hardware & Software,"",51 to 200 employees,https://grnh.se/c985fda31us
New Signature,585594,6,www.newsignature.com,"Washington, DC",Information Technology,IT Services,,201 to 500 employees,https://grnh.se/33b0dad03us
Razer,431801,6,www.razerzone.com,"Irvine, CA",Information Technology,Computer Hardware & Software,,1001 to 5000 employees,https://grnh.se/382cd8521us
Span.IO,3266489,6,"","San Francisco, CA","",,"",Unknown,https://grnh.se/0b5c6fa53us
Specialized Bicycle Components,3387,6,www.specialized.com,"Morgan Hill, CA",Manufacturing,Consumer Products Manufacturing,,1001 to 5000 employees,https://grnh.se/193d4f261
Tanium,952409,6,www.tanium.com,"Emeryville, CA",Information Technology,IT Services,,501 to 1000 employees,https://grnh.se/3f570fe41
theSkimm,1148460,6,www.theskimm.com,"New York, NY",Media,News Outlet,,51 to 200 employees,https://grnh.se/c07ed5a31us
Tower Research Capital LLC,143628,6,www.tower-research.com,"New York, NY",Finance,Financial Analytics & Research,,501 to 1000 employees,https://grnh.se/14cb7c871us
Tracer Labs,3110009,6,www.tracer.tech,"New York, NY",Business Services,Advertising & Marketing,,1 to 50 employees,https://grnh.se/5f6aa87b3
AlphaSights,465088,5,www.alphasights.com,"London, United Kingdom",Business Services,Consulting,,501 to 1000 employees,https://grnh.se/890d53b01us
BetterCloud,690162,5,www.bettercloud.com,"Atlanta, GA",Information Technology,IT Services,,201 to 500 employees,https://grnh.se/a2ceb4561us
Betterment,817462,5,www.betterment.com,"New York, NY",Finance,Investment Banking & Asset Management,,1 to 50 employees,https://grnh.se/8b1f5f8c1us
Bowery,2186242,5,www.boweryres.com,"New York, NY",,,,1 to 50 employees,https://grnh.se/377b543b3us
Brookfield Properties,8707,5,www.brookfieldproperties.com,"New York, NY",Real Estate,Real Estate,,10000+ employees,https://grnh.se/3322537a1us
Code Climate,1748186,5,www.codeclimate.com,"New York, NY","",,"",1 to 50 employees,https://grnh.se/bc649ecd1us
College Track,718164,5,www.collegetrack.org,"Oakland, CA",Education,Colleges & Universities,,51 to 200 employees,https://grnh.se/52111dca3us
Dusty Robotics,3518259,5,www.dustyrobotics.com,"Mountain View, CA","Construction, Repair & Maintenance",Construction,"",1 to 50 employees,https://grnh.se/93b3a3093us
EasyKnock,1826844,5,www.easyknock.com,"New York, NY",Finance,Brokerage Services,,1 to 50 employees,https://grnh.se/4e78c9c72us
North Highlands Engine Company NO 1,190988,5,www.northhighlandsfd.org,"Cold Spring, NY",Government,Municipal Governments,,Unknown,https://grnh.se/fd6eb8963us
FIGS (CA),2146707,5,www.wearfigs.com,"Santa Monica, CA",Retail,"Department, Clothing, & Shoe Stores",,51 to 200 employees,https://grnh.se/6218dc9c2us
Goodr,3301302,5,www.goodr.co,"Atlanta, GA","",,Unknown / Non-Applicable per year,1 to 50 employees,https://grnh.se/31805e2d2us
Greenhouse Software,657749,5,www.greenhouse.io,"New York, NY",Information Technology,Computer Hardware & Software,,201 to 500 employees,https://grnh.se/a7f0eb421us
Index Exchange,954292,5,www.indexexchange.com,"New York, NY",Information Technology,Internet,,501 to 1000 employees,https://grnh.se/3692f9a71us
Inspire,1087043,5,www.helloinspire.com,"Los Angeles, CA","Oil, Gas, Energy & Utilities",Energy,Unknown / Non-Applicable per year,51 to 200 employees,https://grnh.se/993087c41us
Kettle,930332,5,www.kettlenyc.com,"New York, NY",Business Services,Advertising & Marketing,,51 to 200 employees,https://grnh.se/7552e8121
Kiva,436370,5,www.kiva.org,"San Francisco, CA",Finance,Lending,,51 to 200 employees,https://grnh.se/7aa7a6e91us
LeagueApps,890196,5,www.leagueapps.com,"New York, NY",Information Technology,Enterprise Software & Network Solutions,,51 to 200 employees,https://grnh.se/d2cfcd8f3us
